judul,isi_berita,tanggal,kategori,url
"Cicipi Putu Mayang khas Betawi, Kue Lembut Berpadu dengan Manisnya Saus Beraroma Pandan dan Pisang","Laporan Wartawan TribunJatim.com, Nurika Anisa TRIBUNJATIM.COM, SURABAYA - Executive Chef Hotel Aston Inn Jemursari Surabaya, Chef Prabowo Kusminarno mempraktikkan cara membuat kue putu mayang yang lembut dengan saus yang legit. Putu mayang adalah kue tradisional khas Betawi yang memiliki bentuk seperti mi digulung. Cara membuatnya dapat dipraktikkan di rumah, lantaran bahan-bahan yang diperlukan mudah didapat. “Caranya gampang buat putu mayang. Ini kue dari Betawi, bentuknya seperti mi digulung. Saya mau bikin digulung panjang,” ungkapnya, Jumat (20/9/2024). Bahan-bahan yang dibutuhkan, ada tepung beras, maizena atau tapioka, garam, gula, dan pisang kepok sebagai isiannya. Sementara gula dan santan, untuk membuat saus cocolan kue putu mayang. Pertama-tama, Chef Prabowo meracik bahan untuk kue. Ia mencampurkan tepung beras, santan, gula dan sedikit garam. Semua bahan diaduk, kemudian ditambah air sekitar 100 ml. Adonan diaduk perlahan pada sebuah teflon cekung di atas kompor. Setelah bahan tercampur, api dinyalakan dan adonan diaduk kembali hingga menggumpal.  Baca juga: Cicipi Tongseng Ayam Bu Mumpuni, Rekomendasi Kuliner di Trenggalek yang Rindu Suasana Yogyakarta “Diaduk pelan dan dinyalakan apinya, diaduk hingga menggumpal dan kalis. Bisa dicoba di rumah, karena caranya mudah dan bahannya gampang didapatkan,” ungkapnya. Ketika adonan sudah menggumpal, api kompor dimatikan dan tetap diaduk perlahan sambil ditambahkan maizena. ","Tayang: Sabtu, 21 September 2024 08:36 WIB",Kuliner,https://jatim.tribunnews.com/2024/09/21/cicipi-putu-mayang-khas-betawi-kue-lembut-berpadu-denganmanisnya-saus-beraroma-pandan-dan-pisang
"Kolam Renang Jambore Playland Surabaya Diresmikan, Tiket Masuk Gratis Selama Sebulan","Laporan Wartawan Tribun Jatim Network, Bobby Constantine TRIBUNJATIM.COM, SURABAYA - Objek wisata di Surabaya kembali bertambah. Wali Kota Surabaya, Eri Cahyadi meresmikan Kolam Renang Jambangan Hore (Jambore) Playland. Berada di Jalan Ketintang Madya VII Surabaya, tempat wisata ini akan memberikan fasilitas rekreasi yang aman, menyenangkan, dan terjangkau bagi seluruh masyarakat. Bagi pelajar dan mahasiswa, tiket yang dikenakan cukup Rp 5 ribu. Wali Kota Eri berharap, tempat wisata ini bisa menambah alternatif liburan bagi masyarakat. ""Sekarang telah diresmikan dan bisa digunakan untuk para pelajar maupun mahasiswa dengan tarif hanya Rp 5 ribu,” kata Wali Kota Eri, Jumat (20/9/2024). Pasca dibuka, Jambore Playland Surabaya akan gratis selama sebulan ke depan. ""Sudah bisa ke kolam renang, sudah bisa bermain di sini. Kita gratiskan dulu sambil kita menata (tiket) yang Rp 5.000. Saya ingin anak-anak Surabaya memiliki tempat bermain yang sehat dan terjangkau,” kata Cak Eri. sapaan Eri Cahyadi. Jambore Playland dilengkapi dua kolam renang, ruang ganti, toilet, serta beberapa fasilitas penunjang lainnya.  Baca juga: Pemkot Surabaya Percantik Wisata Perahu Kalimas, Tambah Zona Tematik dan Dermaga Baru Tak hanya balita dan anak-anak, area ini juga bisa digunakan bagi orang dewasa. Selain fasilitas wisata, kolam renang ini juga bisa menjadi sarana menjaga kesehatan, khususnya bagi balita stunting. Pemkot pun menggratiskan balita yang terkena stunting. “Sehingga nanti, kolam renang yang digunakan bagi balita stunting tidak hanya di kantor PKK Surabaya. Tapi, di sini juga bisa digunakan untuk balita yang terkena stunting,” jelasnya.","Tayang: Sabtu, 21 September 2024 08:08 WIB",Destinasi,https://jatim.tribunnews.com/2024/09/21/kolam-renang-jambore-playland-surabaya-diresmikan-tiket-masuk-gratis-selama-sebulan
The Alana Surabaya Beri Pengalaman Makan Siang sambil Menyaksikan Pertunjukan Budaya,"Laporan Wartawan TribunJatim.com, Nurika Anisa TRIBUNJATIM.COM, SURABAYA - Hotel The Alana Surabaya mengkreasikan kegiatan menarik yang bisa dilakukan para tamu sembari makan siang. Melalui program makan siang bertajuk ""Payung Rasa,"" tamu hotel dapat menikmati pengalaman gastronomi yang dipadukan dengan seni dan budaya. General Manager The Alana Surabaya, Agus Anom Suroto menjelaskan, Payung Rasa menjadi cara menghadirkan program makan siang yang tidak hanya memanjakan lidah, tetapi juga memperkaya pengalaman budaya para tamu. Sembari menikmati makan siang dengan beragam menu nusantara, tamu juga disajikan pertunjukan musik dan sajian budaya, seperti melukis batik payung. “Kami ingin setiap tamu dapat merasakan sensasi kuliner Indonesia yang autentik, sambil terlibat langsung dalam seni tradisional seperti melukis batik payung. Ini adalah wujud komitmen kami untuk selalu menyajikan sesuatu yang berbeda dan bermakna bagi para tamu,” ungkap Agus Anom, Selasa (17/9/2024). Lebih rinci, Agus menjelaskan, program tersebut berlangsung setiap hari Senin hingga Kamis, mulai pukul 11.00 WIB hingga 14.00 WIB, di Phoenix Lounge dan Oryza Coffee Shop, Lantai M The Alana Surabaya.  Dengan harga mulai dari Rp 30.000 per porsi, para tamu dapat kulineran sambil menyaksikan pertunjukan budaya.  Baca juga: Kue Bulan Fengxian Klasik, Snow Skin Lembut hingga Durian Musang King di Vasa Hotel Surabaya Beberapa menu yang ditawarkan seperti rujak cingur, tahu campur, bakso Malang, hingga seblak bakar, dan nasi mbug Madura. Selain itu, para tamu juga dapat menikmati aneka jajanan pasar, minuman segar, dan es krim dari The Alana Surabaya, yaitu es sundul angin. Selain hidangan lezat, program makan siang ini juga memungkinkan tamu untuk berpartisipasi dalam melukis batik payung, salah satu warisan seni Indonesia yang terkenal di dunia. Para tamu dapat menyaksikan proses pembuatan batik secara langsung, menjadikannya pengalaman yang penuh inspirasi.","Tayang: Rabu, 18 September 2024 09:03 WIB",Kuliner,https://jatim.tribunnews.com/2024/09/18/the-alana-surabaya-beri-pengalaman-makan-siang-sambil-menyaksikan-pertunjukan-budaya
"Rayakan Anniversary ke-45, Mondial Gandeng Nicholas Saputra Kenalkan Koleksi Perhiasan Eksklusif","Laporan Wartawan TribunJatim.com, Nurika Anisa TRIBUNJATIM.COM, SURABAYA - Dalam rangka merayakan Anniversary ke-45, Mondial membawa tema “A Tale of the Blue House” sebagai selebrasi dan eksistensi karya perhiasan melalui jewellery showcase yang dihelat di Hotel Sheraton Surabaya, Sabtu (14/9/2024). Pada showcase ini menampilkan lima koleksi perhiasan yang tidak hanya berfokus pada keindahan, tetapi desain yang fancy dan eksklusif, seperti branded diamonds, men’s jewellery, mondial fantasy, mondial precious, serta mondial gala collection. Perhelatan ini juga dihadiri aktor Nicholas Saputra sebagai ambasador sekaligus creative director salah satu dari signature koleksi perhiasan, yakni mondial precious. General Manager Mondial, Leslie Christian Saputra menuturkan, Surabaya menjadi kota pertama dari rangkaian acara anniversary ke-45 tahun yang membawa koleksinya yang terangkum dalam satu tema. Dalam pertemuan ini, ia juga mengenalkan berlian Light of Mondial dalam jajaran branded diamonds. Koleksi itu disebut kategori branded diamonds yang paling langka di dunia. “Mondial bukan hanya menjadi ‘rumah’ yang menawarkan berbagai keindahan dengan koleksi yang sangat fantastis, namun juga ide-ide kreatif, perkembangan teknologi. Dengan semangat inovasi serta komitmen dalam menyajikan berlian serta perhiasan paling berkualitas,” ujarnya. Sementara itu, Nicholas Saputra menyebut, pada tahun kedua kolaborasinya, Mondial telah melakukan berbagai inovasi yang patut dikagumi, baik dalam pengembangan karya perhiasannya serta dalam mempertahankan pelayanan yang selalu mengutamakan kebutuhan customer dan komunitasnya.  Baca juga: Sosok Para Jemaah Glamor Pulang dari Arab, Gamis Berkilau dan Full Perhiasan, Jemaah Pria Sebaliknya Ia mengaku sangat menyukai precious stone dan mengumpulkannya sembari travelling. Beberapa disebut dipakai untuk perhiasan. Pada kolaborasinya bersama Mondial, Nico, sapaannya, mengaku kali pertama mendesain perhiasan. Ia juga mengenalkan koleksi mondial precious dengan desain yang multifungsi dan seri terbarunya. Nicholas menjelaskan, jewellery multifungsi itu dapat dikenakan dengan berbagai style. Cara pemakaiannya bisa untuk kalung, bros, ditambah dengan rantai dan berbagai macam tampilan.","Tayang: Selasa, 17 September 2024 12:01 WIB",Shopping,https://jatim.tribunnews.com/2024/09/17/rayakan-anniversary-ke-45-mondial-gandeng-nicholas-saputra-kenalkan-koleksi-perhiasan-eksklusif
Volume Air Telaga Sarangan Magetan yang Menyusut Beri Pengalaman Berbeda pada Pengunjung,"Laporan Wartawan Tribun Jatim Network, Febrianto Ramadani TRIBUNJATIM.COM, MAGETAN - Pemandangan berbeda terjadi di Telaga Sarangan Kabupaten Magetan, Jawa Timur, Senin (16/9/2024).  Bukan soal gunung dan perbukitan yang terkena sinar matahari, melainkan tampak beberapa daratan muncul di tepi air, layaknya kawasan pantai, karena volume air di Telaga Sarangan berkurang akibat kemarau. Fenomena tersebut menjadi perhatian ribuan wisatawan. Beberapa di antaranya yang penasaran, akhirnya turun menapaki beberapa anak tangga, melihat langsung daratan di tepi Telaga Sarangan dan berfoto. Sementara sejumlah pelaku usaha perahu motor memarkirkan transportasi air itu, supaya lebih dekat dengan wisatawan.  Alhasil, tidak sedikit pengunjung yang tertarik menikmati sensasi memutari area wisata Telaga Sarangan, dengan mengendarai speed boat. Pelancong Asal Semarang, Mutiara Nurul Aliyah, mengatakan, meski air Telaga Sarangan surut karena musim kemarau, namun tidak mengurangi antusiasme menikmati liburan.  Baca juga: Antar Penumpang Berlibur ke Telaga Sarangan Magetan, Bus Rem Blong, Tabrakkan Kendaraan ke Tebing “Meski kelihatan daratan, tapi speedboat masih bisa digunakan berkeliling. Walaupun kalau mau naik harus turun tangga dulu ke bawah,” ujar Aliyah. Ia mengaku, tarif untuk berkeliling mengendarai speedboat sebesar Rp 150.000 untuk 2 putaran, sembari menikmati pemandangan bersama ayah dan ibunya. “Sangat seru. Sengaja sewa 2 putaran. Kalau cuma sekali putaran rasanya masih kurang,” pungkasnya. Di tempat yang sama, wisatawan asal Kota Surabaya, Sinta Anggi Tungga Dewi, menuturkan, selama ini untuk menikmati speedboat masyarakat tidak perlu turun ke bawah. “Biasanya air di Telaga Sarangan tinggi. Kalau sekarang harus turun ke bawah ini, jadi pengalaman berbeda,” tuturnya. Sinta juga berencana menginap 2 hari di Hotel Telaga Sarangan, bersama dengan sanak saudara dan kerabat dekat. “Selain naik speedboat juga mengendarai kuda, harga terjangkau karena mengelilingi Telaga Sarangan. Ramai banyak yang datang,” pungkasnya. Sementara itu, data yang dihimpun, per Minggu (15/9/2024), jumlah pengunjung di Telaga Sarangan mencapai 11.851 orang. Jumlah tersebut diperkirakan akan bertambah, seiring memasuki libur Maulid Nabi Muhammad.","Tayang: Selasa, 17 September 2024 09:21 WIB",Destinasi,https://jatim.tribunnews.com/2024/09/17/volume-air-telaga-sarangan-magetan-yang-menyusut-beri-pengalaman-berbeda-pada-pengunjung
Kampung Kayutangan Heritage Kota Malang Diserbu Wisatawan pada Momen Libur Panjang Akhir Pekan,"Laporan Wartawan Tribun Jatim Network, Purwanto TRIBUNJATIM.COM, MALANG - Libur panjang atau long weekend tengah berlangsung sejak 14-16 September 2024.  Momen libur panjang Maulid Nabi Muhammad SAW 1446 Hijriyah tersebut, dimanfaatkan sebagian masyarakat untuk berlibur, satu di antaranya di Kota Malang, Jawa Timur. Salah satu jujukan wisatawan di Kota Malang adalah Kampung Kayutangan Heritage.  Sejak Kamis (12/9/2024), Kampung Kayutangan Heritage yang berada di Jalan Basuki Rahmat Kota Malang ini sudah ramai pengunjung.  Puncak libur panjang terjadi pada Senin (16/9/2024).  Salah satu pengurus Kelompok Sadar Wisata (Pokdarwis) Kampung Kayutangan Heritage, Iis Sugiati mengatakan, hampir dua ribu lebih wisatawan mendatangi Kayutangan saat libur panjang.  ""Kalau hari biasa 400-500 pengunjung, tapi saat libur panjang ini sampai dua ribuan pengunjung,"" terang Iis.  Iis menjelaskan, peningkatan pengunjung tersebut terlihat sejak Kamis (12/9/2024) atau menjelang libur panjang akhir pekan.   Baca juga: Kanjuruhan Culture Carnival 2024 Tampilkan Sendratari Wisata Unggulan 33 Kecamatan di Malang ""Sejak Kamis lalu sudah mulai ramai. Tidak hanya wisatawan lokal, namun banyak juga dari luar negeri seperti Belanda,"" jelasnya.  Salah satu wisatawan, Peni Aprilita mengaku memanfaatkan libur panjang berkunjung ke Kampung Kayutangan Heritage.  ""Mumpung libur panjang, jadi saya bersama teman liburan ke Kayutangan,"" terang wisatawan asal Kasembon, Kabupaten Malang, itu.  ""Estetik cocok untuk berburu foto,"" jelas Peni.  Selain berkeliling di lorong-lorong Kampung Kayutangan Heritage, para wisatawan juga bisa berburu kuliner maupun nongkrong di kawasan Kampung Kayutangan Heritage.","Tayang: Senin, 16 September 2024 15:09 WIB",Destinasi,https://jatim.tribunnews.com/2024/09/16/kampung-kayutangan-heritage-kota-malang-diserbu-wisatawan-pada-momen-libur-panjang-akhir-pekan
"Selama Libur Panjang Akhir Pekan, Penumpang KA Tujuan Stasiun Daop 8 Surabaya Meningkat 26 Persen","Laporan Wartawan TribunJatim.com, Fikri Firmansyah TRIBUNJATIM.COM, SURABAYA - Selama libur panjang akhir pekan yang bertepatan dengan Maulid Nabi Muhammad SAW, PT KAI Daop 8 Surabaya mencatatkan peningkatan signifikan pelanggan yang datang di seluruh stasiun wilayah operasionalnya. ""Karena memang momentumnya pas libur akhir pekan, maka wajar ada peningkatan,"" ujar Manager Humas PT KAI Daop 8 Surabaya, Luqman Arif, Senin (16/9/2024). Ia menjelaskan, pada Jumat (13/9/2024) kemarin, tercatat yang datang ke seluruh stasiun yang ada di Daop 8 Surabaya mencapai 19.596 pelanggan, kemudian untuk Sabtu (14/9/2024) mencapai 21.922 pelanggan, dan pada Minggu (15/9/2024) ada sebanyak 18.603 pelanggan. Dari data tersebut pula, lanjutnya, sehingga total pada libur panjang mulai 13-16 September 2024, tercatat 60.121 pelanggan. ""Jumlah ini meningkat 26 persen atau 12.364 pelanggan dibanding periode 6-8 September 2024,"" imbuhnya. Para pelanggan didominasi oleh Kereta Api (KA) jarak jauh dari Jakarta, Yogyakarta, Bandung, Jember dan Banyuwangi. Tidak hanya penumpang yang datang saja yang tercatat mengalami kenaikan, pelanggan KA yang berangkat pun, okupansinya juga terus berjalan dan naik. Pelanggan KA jarak jauh yang berangkat pada Sabtu (14/9/2024), tercatat ada sebanyak 24.751 pelanggan, meningkat 62 persen atau 9.454 pelanggan dibanding periode yang sama minggu sebelumnya.  Baca juga: Libur Panjang Maulid Nabi, PT KAI Daop 8 Surabaya Operasikan 4 Kereta Tambahan Sedangkan, pelanggan KA jarak jauh yang berangkat pada Jumat (13/9/2024) tercatat sebanyak 24.318, meningkat 36 persen atau naik 6.500 pelanggan dibanding minggu sebelumnya. ""Pada libur panjang ini mulai 13-16 September 2024, KAI Daop 8 Surabaya mencatat 83.276 pelanggan, meningkat 30 persen atau 18.991 pelanggan dibanding minggu sebelumnya. Data ini masih akan terus bertambah karena penjualan tiket masih terus berlangsung,"" ungkapnya. Dikatakannya pula, pada libur panjang akhir pekan ini, setiap harinya PT KAI Daop 8 Surabaya mengoperasikan 10 KA jarak jauh dan 2 KA lokal komersial tambahan, yang mampu mengakomodir 6.046 tempat duduk setiap harinya. ""KAI Daop 8 Surabaya mengucapkan terima kasih atas kepercayaan masyarakat terhadap kereta api sebagai moda transportasi pilihan untuk melakukan mobilisasi,"" pungkas Luqman.","Tayang: Senin, 16 September 2024 11:44 WIB",Ticketing,https://jatim.tribunnews.com/2024/09/16/selama-libur-panjang-akhir-pekan-penumpang-ka-tujuan-stasiun-daop-8-surabaya-meningkat-26-persen
"Agoda Ungkap 5 Destinasi Favorit saat Libur Maulid Nabi, Ada Bandung hingga Malang","JAKARTA - Semakin banyak banyak wisatawan yang merencanakan perjalanan domestik menjelang Maulid Nabi. Platform perjalanan digital Agoda mencatatkan peningkatan sebesar 89 persen dalam pencarian akomodasi domestik saat libur Maulid Nabi tahun ini, dibandingkan tahun sebelumnya. Bandung menjadi destinasi yang paling banyak dicari, disusul Yogyakarta, Bali, Jakarta, dan Malang yang berada di urutan berikutnya. Berbagai destinasi ini menawarkan beragam pengalaman, mulai dari kekayaan budaya Yogyakarta dan kehidupan perkotaan Jakarta, hingga keindahan pemandangan Bandung, daya tarik tropis Bali, dan pesona sejarah Malang. Gede Gunawan, Senior Country Director Indonesia di Agoda mengatakan, peningkatan pencarian akomodasi pada libur panjang kali ini menunjukkan antusiasme wisatawan Indonesia untuk menjelajah dan menikmati waktu istirahat mereka.  ""Di negara yang begitu beragam seperti Indonesia, dimana setiap daerah menawarkan daya tariknya sendiri, kenaikan ini menyoroti besarnya keinginan untuk menjelajah dan menciptakan kenangan tak terlupakan. Ragam pilihan akomodasi dari Agoda mempermudah wisatawan dalam menemukan dan memesan akomodasi ideal mereka, memastikan pengalaman liburan yang berkesan,"" kata Gege Gunawan.    Berikut 5 destinasi domestik yang banyak dicari masyarakat Indonesia melalui platform Agoda menjelang libur panjang Maulid Nabi 2024: Bandung Dikenal dengan cuaca yang sejuk serta kuliner yang ‘hidup’, Bandung dapat menjadi destinasi pelarian yang menyegarkan dari hiruk pikuk kehidupan kota.  Pengunjung dapat menjelajahi perkebunan teh yang hijau, berbelanja fesyen lokal di factory outlet terkenal, dan menikmati berbagai hidangan lokal.  Suasana kreatif kota ini juga tercermin dalam berbagai galeri seni dan acara budaya. Yogyakarta Terkenal dengan warisan budaya dan situs bersejarahnya yang kaya, Yogyakarta menjadi destinasi wajib bagi mereka yang tertarik dengan sejarah dan tradisi Indonesia.  Kota ini menjadi rumah bagi candi-candi ikonik Borobudur dan Prambanan, yang keduanya merupakan Situs Warisan Dunia UNESCO.  Wisatawan juga dapat menyaksikan suasana seni lokal yang dinamis, termasuk pembuatan batik tradisional dan pertunjukan wayang kulit, serta menikmati keramaian Jalan Malioboro untuk berbelanja dengan beragam kuliner street food.    ","Tayang: Jumat, 13 September 2024 18:00 WIB",Travel,https://jatim.tribunnews.com/2024/09/13/agoda-ungkap-5-destinasi-favorit-saat-libur-maulid-nabi-ada-bandung-hingga-malang
"Libur Panjang Maulid Nabi, PT KAI Daop 8 Surabaya Operasikan 4 Kereta Tambahan","Laporan Wartawan TribunJatim.com, Fikri Firmansyah TRIBUNJATIM.COM, SURABAYA - Menjelang libur Maulid Nabi yang bertepatan dengan akhir pekan, PT KAI Daop 8 Surabaya mengoperasikan 4 kereta api tambahan saat periode libur panjang akhir pekan mulai 13-17 September 2024. ""4 KA tambahan ini untuk mengakomodir kebutuhan pelanggan yang akan menikmati libur panjang akhir pekan,"" ujar Manager Humas PT KAI Daop 8 Surabaya, Luqman Arif, Kamis (12/9/2024). Dijelaskannya, pada periode libur panjang tersebut, PT KAI Daop 8 Surabaya setiap harinya mengoperasikan 47 KA jarak jauh dan 2 KA lokal komersial tambahan. ""Terdiri dari 45 KA jarak jauh reguler, 2 KA jarak jauh tambahan, dan 2 KA lokal komersial tambahan,"" imbuhnya. Luqman juga mengatakan, pada periode tersebut, PT KAI Daop 8 Surabaya menyediakan 27.521 tempat duduk setiap harinya. Terdiri dari 25.741 tempat duduk KA jarak jauh regular, 980 tempat duduk KA jarak jauh tambahan, dan 800 tempat duduk KA lokal komersial. Adapun 4 KA tambahan yang beroperasi di Daop 8 Surabaya pada 12-17 September 2024 adalah: 1. KA Sancaka relasi Surabaya Gubeng - Yogyakarta; 2. KA Mutiara Timur relasi Surabaya Pasarturi - Ketapang;  Baca juga: Beroperasi Lagi, KA Mutiara Timur Tambah Alternatif Pilihan Kereta Api Surabaya-Banyuwangi 3. KA Arjuno Ekspres relasi Malang - Surabaya Gubeng; 4. KA Arjuno Ekspres relasi Surabaya Gubeng - Malang. ""Masyarakat dapat melakukan pemesanan tiket KA melalui aplikasi Access by KAI, web kai.id, dan seluruh channel penjualan online resmi lainnya. Adapun loket di stasiun hanya melayani penjualan tiket go show mulai 3 jam sebelum jadwal keberangkatan kereta api,"" tandasnya.","Tayang: Kamis, 12 September 2024 13:26 WIB",Ticketing,https://jatim.tribunnews.com/2024/09/12/libur-panjang-maulid-nabi-pt-kai-daop-8-surabaya-operasikan-4-kereta-tambahan
"Mie Celor khas Palembang Kini Bisa Dinikmati di Surabaya, Cicipi Mie dan Kaldu Kental yang Kaya Rasa","Laporan Wartawan TribunJatim.com, Nurika Anisa TRIBUNJATIM.COM, SURABAYA - Ketika membicarakan kuliner asal Palembang, yang paling diingat adalah pempek.  Namun ada kuliner khas lain yang tak kalah menggugah selera. Adalah mie celor. Tampilannya mirip dengan mie godog khas Magelang, namun yang membedakan adalah bumbu khas dan isian. Executive Chef Hotel Aston Inn Jemursari Surabaya, Chef Prabowo Kusminarno menyebut, mie celor disajikan dengan dicelor atau diseduh di dalam air panas. Mie yang sudah matang dicampur kuah santan dan kaldu udang yang kental. Bagian kaldu ini yang membuat rasa mie celor gurih. Untuk penyajiannya lengkap dengan telur rebus, udang, jeruk limau, tauge dan kucai. “Secara berkala, kami selalu mengangkat beragam jenis kuliner dari berbagai daerah di Indonesia, khusus untuk bulan September sampai dengan November, kami sajikan kuliner khas Sumatera Selatan,” ungkap Chef Prabowo Kusminarno, Kamis (12/9/2024).  Baca juga: Cicipi Tongseng Ayam Bu Mumpuni, Rekomendasi Kuliner di Trenggalek yang Rindu Suasana Yogyakarta Ia menyebut, ada satu hal perbedaan yang menarik dari sajian khas mie satu ini, yakni ukuran mie yang digunakan lebih besar dari pada ukuran mie pada umumnya. Mie kuning kenyal dicampur kuah santan dan kaldu udang yang kental, menjadikan hidangan ini kaya rasa. “Cocok dinikmati kapan saja kalau mie seperti ini, tidak perlu jauh-jauh ke Palembang lah,” ungkapnya.","Tayang: Kamis, 12 September 2024 11:56 WIB",Kuliner,https://jatim.tribunnews.com/2024/09/12/mie-celor-khas-palembang-kini-bisa-dinikmati-di-surabaya-cicipi-mie-dan-kaldu-kental-yang-kaya-rasa
